#Table1
objid,u,g,r,i,z
1237668678843892278,21.81325,19.25544,17.95986,17.32564,16.96961
1237668678843892279,25.1298,24.61015,22.32786,21.75055,21.13553
1237668678843892282,19.72902,18.81124,18.60212,18.52872,18.45354
1237668678843892283,24.05892,22.41315,21.65695,21.452,21.54383
1237668678843892318,19.73796,18.86051,18.6531,18.55099,18.52443
1237668678843892319,22.93693,21.68572,21.16414,20.92358,21.19698
1237668678843892322,20.40653,19.57767,19.31807,19.19338,19.1914
1237668678843892323,21.26173,20.32616,20.03918,19.87883,19.87269
1237668678843892324,23.56795,22.15931,21.53615,21.41603,21.15975
1237668678843892336,23.44114,20.82944,19.518,18.85173,18.44551
1237668678843892337,20.71851,19.80573,19.52765,19.38816,19.35891
1237668678843892338,23.36903,24.38147,22.71706,21.74736,21.09567
1237668678843892339,24.10762,24.78689,23.57307,21.92991,21.53058
1237668678843892340,24.71601,24.65089,23.72097,22.26307,21.02766
1237668678843892342,21.37473,19.72708,19.14134,18.89103,18.81519
1237668678843892344,19.59948,18.19935,17.70751,17.51606,17.46766
1237668678843892346,20.02846,19.12566,18.88554,18.92516,18.7845
1237668678843892355,20.12386,19.16586,18.95593,18.84585,18.76577
1237668678843892356,20.49136,19.5688,19.33968,19.21813,19.35068
1237668678843892359,20.83704,19.81706,19.36592,19.19708,19.17604
1237668678843892360,24.15762,22.53307,21.74515,21.747,22.71718
1237668678843892367,20.93804,19.92845,19.66306,19.56852,19.61749
1237668678843892368,24.29887,23.3177,22.37006,22.33885,21.67901
1237668678843892377,19.92454,18.78089,18.38308,18.22201,18.20026
1237668678843892378,22.65691,21.85271,21.35377,20.96263,20.82451
1237668678843892391,20.06684,19.20369,18.97327,18.86967,18.94753
1237668678843892392,21.58886,20.74739,20.39157,20.15481,20.12799
1237668678843892393,22.54197,21.26245,20.77285,20.58079,20.69405
1237668678843892394,25.07405,24.03002,22.94391,22.50488,22.35362
1237668678843892397,19.85823,18.95589,18.73479,18.63463,18.61099
1237668678843892398,21.50025,20.5894,20.19579,20.16642,20.23965
1237668678843892399,25.33137,24.53064,22.27006,21.58769,21.53675
1237668678843892409,21.28266,19.12294,18.27246,17.92346,17.77045
1237668678843892410,21.64059,20.83816,20.43604,20.29464,20.0443
1237668678843892412,24.35553,23.86709,22.75713,21.90776,22.79843
1237668678843892413,25.08673,24.18499,22.78346,22.55595,21.50863
1237668678843892416,19.67742,18.6856,18.47162,18.36366,18.35538
1237668678843892417,22.80622,21.79516,21.293,20.85683,20.79094
1237668678843892422,20.15779,19.16844,18.98381,18.87889,18.85348
1237668678843892423,21.48766,20.31056,20.00453,19.89712,19.63252
1237668678843892424,23.76006,22.34185,20.83117,19.74498,19.27418
1237668678843892427,20.43245,19.62388,19.39053,19.27443,19.20594
1237668678843892428,23.14961,22.26412,21.5893,21.26464,20.39276
1237668678843892429,24.87084,22.79916,22.05606,22.0174,21.79458
1237668678843892430,25.08037,24.17208,22.66304,22.21254,22.73557
1237668678843892441,21.90481,19.20109,17.93258,17.34758,17.02409
1237668678843892446,20.02848,19.10472,18.89439,18.79162,18.77801
1237668678843892447,24.39787,23.21634,21.9994,21.92661,21.74703
1237668678843892449,20.03528,19.1614,18.91016,18.82013,18.77668
1237668678843892453,20.98986,20.15917,19.71305,19.52422,19.48769
1237668678843892455,22.45045,20.09636,19.02655,18.57473,18.3562
1237668678843892469,21.96235,21.3563,20.84767,20.64979,21.11786
1237668678843892470,22.16896,21.30714,20.82765,20.52194,20.89163
1237668678843892471,24.54201,23.08276,22.22027,21.66987,22.48843
1237668678843892474,24.84216,23.35611,22.9852,23.53609,22.63309
1237668678843892475,23.40824,21.10578,19.80511,18.62493,17.9766
1237668678843892563,23.13712,20.87656,19.48165,18.6217,17.94336
1237668678843892568,24.57591,21.19808,19.79111,18.73919,18.23864
1237668678843892569,24.03553,22.32667,21.48896,21.00659,20.83096
1237668678843892571,20.95012,20.07796,19.76479,19.65109,19.68939
1237668678843892591,21.73145,21.02501,20.55414,20.40815,20.18215
1237668678843892592,23.19244,22.13494,21.429,21.30159,20.93103
